Analysis Type:	PANTHER Enrichment Test (release 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	alert.range.index.txt (Homo sapiens)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
GO molecular function complete	number	overUnder	pvalue	fdr
lipase activity (GO:0016298)	92	-	7.44E-01	9.27E-01
anaphase-promoting complex binding (GO:0010997)	7	+	7.44E-01	9.27E-01
phosphatidylserine flippase activity (GO:0140346)	5	-	7.44E-01	9.27E-01
alpha-actinin binding (GO:0051393)	23	-	7.44E-01	9.27E-01
erythropoietin receptor activity (GO:0004900)	1	+	7.44E-01	9.27E-01
3' overhang single-stranded DNA endodeoxyribonuclease activity (GO:1990599)	3	+	7.45E-01	9.27E-01
poly-ADP-D-ribose binding (GO:0072572)	5	+	7.45E-01	9.27E-01
resveratrol binding (GO:1905594)	1	+	7.45E-01	9.27E-01
dihydronicotinamide riboside quinone reductase activity (GO:0001512)	1	+	7.45E-01	9.27E-01
melatonin binding (GO:1904408)	1	+	7.45E-01	9.27E-01
nuclear export signal receptor activity (GO:0005049)	11	+	7.46E-01	9.27E-01
adrenomedullin binding (GO:1990409)	2	-	7.46E-01	9.27E-01
beta-1 adrenergic receptor binding (GO:0031697)	4	+	7.46E-01	9.27E-01
linoleate 9S-lipoxygenase activity (GO:1990136)	2	+	7.46E-01	9.27E-01
fatty acid alpha-hydroxylase activity (GO:0080132)	1	-	7.46E-01	9.27E-01
type 2 metabotropic glutamate receptor binding (GO:0031799)	2	+	7.47E-01	9.27E-01
histidine-tRNA ligase activity (GO:0004821)	3	+	7.47E-01	9.27E-01
bis(5'-nucleosyl)-tetraphosphatase activity (GO:0008796)	2	-	7.47E-01	9.27E-01
bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity (GO:0004081)	2	-	7.47E-01	9.27E-01
nitrate transmembrane transporter activity (GO:0015112)	1	-	7.47E-01	9.26E-01
sumo-dependent protein binding (GO:0140037)	2	+	7.47E-01	9.27E-01
UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity (GO:0003975)	1	+	7.48E-01	9.27E-01
opsin binding (GO:0002046)	2	+	7.48E-01	9.27E-01
double-stranded DNA exodeoxyribonuclease activity (GO:0008309)	3	-	7.48E-01	9.27E-01
ADP-ribosylglutamate hydrolase activity (GO:0140293)	3	-	7.48E-01	9.27E-01
Edg-2 lysophosphatidic acid receptor binding (GO:0031755)	2	+	7.48E-01	9.26E-01
endothelial differentiation G protein-coupled receptor binding (GO:0031753)	2	+	7.48E-01	9.26E-01
D1 dopamine receptor binding (GO:0031748)	7	-	7.49E-01	9.27E-01
alcohol dehydrogenase (NADP+) activity (GO:0008106)	17	-	7.49E-01	9.26E-01
chromo shadow domain binding (GO:0070087)	6	+	7.49E-01	9.27E-01
14-3-3 protein binding (GO:0071889)	29	+	7.50E-01	9.27E-01
guanylate cyclase activity (GO:0004383)	5	+	7.51E-01	9.28E-01
TFIIF-class transcription factor complex binding (GO:0001096)	2	+	7.51E-01	9.28E-01
all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity (GO:0047376)	2	-	7.51E-01	9.29E-01
tRNA (cytosine-2'-O-)-methyltransferase activity (GO:0052666)	1	+	7.52E-01	9.29E-01
tRNA (guanosine-2'-O-)-methyltransferase activity (GO:0009020)	1	+	7.52E-01	9.28E-01
3-hydroxybutyrate dehydrogenase activity (GO:0003858)	2	-	7.52E-01	9.29E-01
sphingolipid transporter activity (GO:0046624)	17	+	7.52E-01	9.28E-01
dihydroorotate dehydrogenase activity (GO:0004152)	1	-	7.52E-01	9.28E-01
alkylthioltransferase activity (GO:0050497)	2	-	7.52E-01	9.28E-01
transmembrane protein dislocase activity (GO:0140567)	2	+	7.52E-01	9.28E-01
methylthiotransferase activity (GO:0035596)	2	-	7.52E-01	9.28E-01
NAD-dependent histone deacetylase activity (GO:0017136)	4	+	7.52E-01	9.28E-01
laminin binding (GO:0043236)	24	+	7.54E-01	9.29E-01
adenyl-nucleotide exchange factor activity (GO:0000774)	11	-	7.54E-01	9.29E-01
thiolester hydrolase activity (GO:0016790)	36	+	7.54E-01	9.29E-01
polyol transmembrane transporter activity (GO:0015166)	7	+	7.55E-01	9.29E-01
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	4	-	7.55E-01	9.29E-01
photoreceptor activity (GO:0009881)	11	+	7.55E-01	9.29E-01
beta-3 adrenergic receptor binding (GO:0031699)	1	-	7.56E-01	9.30E-01
chemokine (C-C motif) ligand 21 binding (GO:0035758)	1	+	7.56E-01	9.30E-01
chemokine (C-C motif) ligand 19 binding (GO:0035757)	1	+	7.56E-01	9.30E-01
C-C motif chemokine 21 receptor activity (GO:0038121)	1	+	7.56E-01	9.29E-01
C-C motif chemokine 19 receptor activity (GO:0038117)	1	+	7.56E-01	9.29E-01
thioesterase binding (GO:0031996)	11	-	7.56E-01	9.29E-01
caspase binding (GO:0089720)	8	-	7.57E-01	9.30E-01
translation factor activity, non-nucleic acid binding (GO:0045183)	1	-	7.57E-01	9.30E-01
RNA polymerase binding (GO:0070063)	55	+	7.57E-01	9.30E-01
NAD-retinol dehydrogenase activity (GO:0004745)	11	-	7.58E-01	9.30E-01
dolichyldiphosphatase activity (GO:0047874)	1	-	7.58E-01	9.30E-01
5-aminolevulinic acid transmembrane transporter activity (GO:0140485)	1	-	7.58E-01	9.30E-01
N6-mAMP deaminase activity (GO:0062154)	1	+	7.58E-01	9.30E-01
phosphopentomutase activity (GO:0008973)	1	-	7.60E-01	9.31E-01
peptidoglycan muralytic activity (GO:0061783)	4	-	7.60E-01	9.31E-01
lysozyme activity (GO:0003796)	4	-	7.60E-01	9.31E-01
ligase activity, forming carbon-carbon bonds (GO:0016885)	7	+	7.60E-01	9.32E-01
Toll binding (GO:0005121)	1	-	7.60E-01	9.31E-01
TIR domain binding (GO:0070976)	1	-	7.60E-01	9.31E-01
G-rich strand telomeric DNA binding (GO:0098505)	10	-	7.62E-01	9.32E-01
transforming growth factor beta receptor activity, type III (GO:0070123)	1	-	7.64E-01	9.36E-01
transcription corepressor activity (GO:0003714)	178	-	7.64E-01	9.35E-01
phospholipid-hydroperoxide glutathione peroxidase activity (GO:0047066)	2	-	7.65E-01	9.36E-01
calcitonin family receptor activity (GO:0097642)	5	-	7.65E-01	9.36E-01
glycerol-3-phosphate dehydrogenase [NAD+] activity (GO:0004367)	2	+	7.65E-01	9.35E-01
glycerol-3-phosphate dehydrogenase [NAD(P)+] activity (GO:0047952)	2	+	7.65E-01	9.35E-01
ATPase regulator activity (GO:0060590)	13	+	7.66E-01	9.36E-01
calcium-dependent cysteine-type endopeptidase activity (GO:0004198)	11	+	7.66E-01	9.36E-01
CDP phosphatase activity (GO:0036384)	3	+	7.66E-01	9.35E-01
sulfurtransferase activity (GO:0016783)	9	-	7.67E-01	9.36E-01
growth hormone-releasing hormone activity (GO:0016608)	1	+	7.67E-01	9.37E-01
ghrelin receptor binding (GO:0031768)	1	+	7.67E-01	9.36E-01
sodium-independent organic anion transmembrane transporter activity (GO:0015347)	9	+	7.68E-01	9.37E-01
adenosine-phosphate deaminase activity (GO:0047623)	2	+	7.68E-01	9.37E-01
AMP deaminase activity (GO:0003876)	2	+	7.68E-01	9.37E-01
ATP-gated ion channel activity (GO:0035381)	7	+	7.68E-01	9.37E-01
trans-2-enoyl-CoA reductase (NADPH) activity (GO:0019166)	3	-	7.69E-01	9.37E-01
protein-arginine omega-N monomethyltransferase activity (GO:0035241)	6	+	7.69E-01	9.37E-01
histone decrotonylase activity (GO:0160009)	4	-	7.70E-01	9.38E-01
protein decrotonylase activity (GO:0160008)	4	-	7.70E-01	9.38E-01
mRNA N6-methyladenosine dioxygenase activity (GO:1990931)	2	+	7.70E-01	9.38E-01
U6 snRNA binding (GO:0017070)	13	-	7.72E-01	9.39E-01
MAP kinase serine/threonine phosphatase activity (GO:1990439)	1	+	7.72E-01	9.39E-01
insulin-like growth factor receptor binding (GO:0005159)	12	-	7.72E-01	9.39E-01
glycerophosphoinositol glycerophosphodiesterase activity (GO:0047395)	1	-	7.72E-01	9.39E-01
deoxyadenosine kinase activity (GO:0004136)	3	+	7.72E-01	9.39E-01
transcription regulator inhibitor activity (GO:0140416)	20	+	7.73E-01	9.40E-01
calcium:proton antiporter activity (GO:0015369)	1	-	7.73E-01	9.40E-01
glycine:sodium symporter activity (GO:0015375)	2	+	7.74E-01	9.40E-01
lipoprotein lipase activity (GO:0004465)	7	+	7.74E-01	9.40E-01
aldo-keto reductase (NADP) activity (GO:0004033)	24	+	7.74E-01	9.40E-01
cysteine-S-conjugate beta-lyase activity (GO:0047804)	2	+	7.74E-01	9.40E-01
connexin binding (GO:0071253)	4	+	7.75E-01	9.40E-01
alcohol dehydrogenase activity, zinc-dependent (GO:0004024)	2	+	7.75E-01	9.40E-01
3-keto sterol reductase activity (GO:0000253)	3	+	7.76E-01	9.41E-01
2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity (GO:0043333)	1	-	7.76E-01	9.41E-01
2-decaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity (GO:0043430)	1	-	7.76E-01	9.41E-01
ABC-type manganese transporter activity (GO:0015410)	1	+	7.77E-01	9.42E-01
beta-glucuronidase activity (GO:0004566)	1	-	7.77E-01	9.42E-01
double-stranded RNA binding (GO:0003725)	66	+	7.77E-01	9.42E-01
extracellularly ATP-gated cation channel activity (GO:0004931)	6	-	7.77E-01	9.42E-01
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	636	+	7.77E-01	9.41E-01
hydrolase activity, acting on acid anhydrides (GO:0016817)	636	+	7.77E-01	9.41E-01
protein kinase C inhibitor activity (GO:0008426)	3	-	7.78E-01	9.41E-01
U7 snRNA binding (GO:0071209)	3	-	7.78E-01	9.41E-01
leukotriene B4 receptor activity (GO:0001632)	2	+	7.78E-01	9.42E-01
delta7-sterol 5(6)-desaturase activity (GO:0050046)	1	+	7.79E-01	9.42E-01
protein kinase A binding (GO:0051018)	47	+	7.79E-01	9.42E-01
rRNA (guanosine-2'-O-)-methyltransferase activity (GO:0070039)	2	+	7.80E-01	9.42E-01
3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)	17	-	7.80E-01	9.42E-01
phosphopantothenoylcysteine decarboxylase activity (GO:0004633)	1	-	7.80E-01	9.42E-01
methylcrotonoyl-CoA carboxylase activity (GO:0004485)	2	-	7.80E-01	9.42E-01
heparan sulfate N-deacetylase activity (GO:0102140)	3	-	7.80E-01	9.42E-01
[heparan sulfate]-glucosamine N-sulfotransferase activity (GO:0015016)	3	-	7.80E-01	9.42E-01
lipoyltransferase activity (GO:0017118)	1	-	7.80E-01	9.42E-01
bombesin receptor binding (GO:0031705)	3	-	7.81E-01	9.42E-01
palmitoyl-CoA ligase activity (GO:0090433)	3	+	7.81E-01	9.42E-01
carbohydrate kinase activity (GO:0019200)	19	+	7.81E-01	9.42E-01
sterol binding (GO:0032934)	53	+	7.82E-01	9.43E-01
glyceraldehyde oxidoreductase activity (GO:0043795)	1	+	7.82E-01	9.43E-01
voltage-gated sodium channel activity (GO:0005248)	21	+	7.82E-01	9.42E-01
long-chain-enoyl-CoA hydratase activity (GO:0016508)	2	-	7.83E-01	9.43E-01
calcium, potassium:sodium antiporter activity (GO:0008273)	5	+	7.83E-01	9.43E-01
smoothened binding (GO:0005119)	3	-	7.83E-01	9.43E-01
icosanoid binding (GO:0050542)	5	-	7.84E-01	9.43E-01
histone kinase activity (H3-S10 specific) (GO:0035175)	3	-	7.84E-01	9.44E-01
thymidine kinase activity (GO:0004797)	2	+	7.85E-01	9.44E-01
phosphatidylinositol phospholipase C activity (GO:0004435)	21	-	7.85E-01	9.44E-01
receptor tyrosine kinase binding (GO:0030971)	68	-	7.85E-01	9.44E-01
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	48	+	7.85E-01	9.44E-01
opioid receptor binding (GO:0031628)	6	-	7.86E-01	9.44E-01
U2 snRNP binding (GO:1990447)	2	-	7.86E-01	9.44E-01
glutamate-gated calcium ion channel activity (GO:0022849)	5	-	7.86E-01	9.44E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	25	+	7.86E-01	9.44E-01
mitochondrial ribosomal large subunit rRNA binding (GO:1990400)	1	+	7.86E-01	9.44E-01
transmembrane transporter binding (GO:0044325)	115	+	7.86E-01	9.44E-01
ribonucleoside binding (GO:0032549)	3	+	7.86E-01	9.44E-01
RNA lariat debranching enzyme activator activity (GO:0061632)	1	-	7.87E-01	9.44E-01
protein-glutamine N-methyltransferase activity (GO:0036009)	3	-	7.87E-01	9.44E-01
chlordecone reductase activity (GO:0047743)	1	+	7.88E-01	9.44E-01
complement component C1q complex binding (GO:0001849)	5	-	7.88E-01	9.44E-01
fatty acid peroxidase activity (GO:0047888)	1	-	7.88E-01	9.44E-01
chondroitin-glucuronate 5-epimerase activity (GO:0047757)	2	-	7.88E-01	9.44E-01
sterol 14-demethylase activity (GO:0008398)	1	-	7.89E-01	9.45E-01
succinate-CoA ligase activity (GO:0004774)	3	+	7.89E-01	9.45E-01
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810)	99	+	7.90E-01	9.45E-01
tRNA (guanine-N1-)-methyltransferase activity (GO:0009019)	4	+	7.90E-01	9.46E-01
DNA secondary structure binding (GO:0000217)	29	+	7.90E-01	9.45E-01
plus-end directed microfilament motor activity (GO:0060002)	3	+	7.90E-01	9.45E-01
phosphatidate cytidylyltransferase activity (GO:0004605)	3	+	7.91E-01	9.46E-01
high-density lipoprotein particle receptor activity (GO:0070506)	2	+	7.91E-01	9.46E-01
inositol pentakisphosphate 2-kinase activity (GO:0035299)	1	+	7.91E-01	9.46E-01
alpha-galactosidase activity (GO:0004557)	2	-	7.92E-01	9.46E-01
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters (GO:0016894)	9	-	7.92E-01	9.46E-01
D4 dopamine receptor binding (GO:0031751)	1	-	7.92E-01	9.46E-01
acrosin binding (GO:0032190)	2	-	7.92E-01	9.46E-01
structural constituent of egg coat (GO:0035804)	2	-	7.92E-01	9.46E-01
1-alkenyl-2-acylglycerol choline phosphotransferase activity (GO:0047359)	1	+	7.93E-01	9.46E-01
alpha-(1->3)-fucosyltransferase activity (GO:0046920)	8	-	7.93E-01	9.46E-01
geranyltranstransferase activity (GO:0004337)	2	-	7.93E-01	9.46E-01
dimethylallyltranstransferase activity (GO:0004161)	2	-	7.93E-01	9.45E-01
NADP-retinol dehydrogenase activity (GO:0052650)	11	-	7.93E-01	9.46E-01
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	20	-	7.93E-01	9.46E-01
tRNA (cytosine-3-)-methyltransferase activity (GO:0052735)	4	+	7.94E-01	9.47E-01
N-acylneuraminate cytidylyltransferase activity (GO:0008781)	2	-	7.95E-01	9.47E-01
S-acyltransferase activity (GO:0016417)	28	+	7.96E-01	9.48E-01
anandamide 11,12 epoxidase activity (GO:0062188)	1	-	7.96E-01	9.48E-01
anandamide 8,9 epoxidase activity (GO:0062187)	1	-	7.96E-01	9.48E-01
testosterone 16-alpha-hydroxylase activity (GO:0008390)	1	-	7.96E-01	9.48E-01
1-phosphatidylinositol binding (GO:0005545)	13	+	7.97E-01	9.48E-01
phosphoglycerate mutase activity (GO:0004619)	4	+	7.97E-01	9.48E-01
bisphosphoglycerate mutase activity (GO:0004082)	4	+	7.97E-01	9.47E-01
O-octanoyltransferase activity (GO:0016414)	3	-	7.98E-01	9.48E-01
carnitine O-octanoyltransferase activity (GO:0008458)	3	-	7.98E-01	9.48E-01
glucosamine kinase activity (GO:0047931)	1	+	7.98E-01	9.48E-01
mannose binding (GO:0005537)	16	-	7.98E-01	9.48E-01
pyrophosphatase activity (GO:0016462)	634	+	7.98E-01	9.48E-01
peptidyl-lysine acetyltransferase activity (GO:0052858)	1	+	7.98E-01	9.48E-01
cytoskeletal regulatory protein binding (GO:0005519)	2	+	7.98E-01	9.48E-01
mannosyl-oligosaccharide mannosidase activity (GO:0015924)	8	-	7.98E-01	9.48E-01
peptidylamidoglycolate lyase activity (GO:0004598)	1	+	7.99E-01	9.47E-01
peptidylglycine monooxygenase activity (GO:0004504)	1	+	7.99E-01	9.47E-01
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016893)	32	+	7.99E-01	9.48E-01
5'-3' RNA polymerase activity (GO:0034062)	28	+	7.99E-01	9.48E-01
RNA polymerase activity (GO:0097747)	28	+	7.99E-01	9.47E-01
cyclic-nucleotide phosphodiesterase activity (GO:0004112)	24	-	8.00E-01	9.47E-01
leukemia inhibitory factor receptor binding (GO:0005146)	2	+	8.00E-01	9.47E-01
protein-arginine N-methyltransferase activity (GO:0016274)	12	-	8.00E-01	9.47E-01
arginine N-methyltransferase activity (GO:0016273)	12	-	8.00E-01	9.47E-01
angiostatin binding (GO:0043532)	4	+	8.00E-01	9.47E-01
D-glutamate cyclase activity (GO:0047820)	1	+	8.01E-01	9.48E-01
telethonin binding (GO:0031433)	3	+	8.01E-01	9.48E-01
Krueppel-associated box domain binding (GO:0035851)	2	+	8.01E-01	9.48E-01
oligonucleotidase activity (GO:0008946)	1	-	8.02E-01	9.48E-01
DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity (GO:0003918)	1	+	8.02E-01	9.48E-01
oligoribonucleotidase activity (GO:0034611)	1	-	8.02E-01	9.47E-01
chloride channel inhibitor activity (GO:0019869)	8	-	8.02E-01	9.47E-01
vascular endothelial growth factor binding (GO:0038085)	4	-	8.02E-01	9.47E-01
endodeoxyribonuclease activity, producing 3'-phosphomonoesters (GO:0016889)	5	+	8.02E-01	9.47E-01
dynein light intermediate chain binding (GO:0051959)	19	-	8.02E-01	9.47E-01
MHC protein binding (GO:0042287)	22	+	8.03E-01	9.47E-01
DNA damage sensor activity (GO:0140612)	18	+	8.03E-01	9.48E-01
GTP-dependent protein binding (GO:0030742)	20	-	8.04E-01	9.48E-01
Arp2/3 complex binding (GO:0071933)	13	+	8.04E-01	9.49E-01
3-oxo-cerotoyl-CoA reductase activity (GO:0102342)	1	-	8.05E-01	9.49E-01
3-oxo-lignoceroyl-CoA reductase activity (GO:0102341)	1	-	8.05E-01	9.49E-01
3-oxo-behenoyl-CoA reductase activity (GO:0102340)	1	-	8.05E-01	9.49E-01
3-oxo-arachidoyl-CoA reductase activity (GO:0102339)	1	-	8.05E-01	9.48E-01
long-chain-fatty-acyl-CoA reductase activity (GO:0050062)	1	-	8.05E-01	9.48E-01
BAT3 complex binding (GO:1904288)	4	-	8.05E-01	9.49E-01
histone methyltransferase activity (H3-R17 specific) (GO:0035642)	2	-	8.06E-01	9.48E-01
O-methyltransferase activity (GO:0008171)	23	+	8.06E-01	9.48E-01
RNA polymerase I general transcription initiation factor activity (GO:0001181)	4	+	8.06E-01	9.48E-01
procollagen galactosyltransferase activity (GO:0050211)	3	+	8.06E-01	9.48E-01
8-oxo-GDP phosphatase activity (GO:0044716)	2	+	8.06E-01	9.48E-01
lysophosphatidic acid phosphatase activity (GO:0052642)	4	-	8.06E-01	9.47E-01
guanine/thymine mispair binding (GO:0032137)	3	+	8.06E-01	9.47E-01
ceramide-1-phosphate phosphatase activity (GO:0106235)	3	-	8.06E-01	9.47E-01
pre-miRNA binding (GO:0070883)	8	-	8.06E-01	9.48E-01
glyoxalase III activity (GO:0019172)	1	-	8.07E-01	9.48E-01
interleukin-8 binding (GO:0019959)	1	-	8.07E-01	9.48E-01
prostaglandin receptor activity (GO:0004955)	7	-	8.07E-01	9.48E-01
2'-deoxyadenosine deaminase activity (GO:0046936)	1	-	8.07E-01	9.48E-01
phosphatase binding (GO:0019902)	174	-	8.08E-01	9.48E-01
dolichol kinase activity (GO:0004168)	1	-	8.09E-01	9.49E-01
type 1 galanin receptor binding (GO:0031764)	1	+	8.09E-01	9.49E-01
aryl sulfotransferase activity (GO:0004062)	3	-	8.09E-01	9.49E-01
glutamine-fructose-6-phosphate transaminase (isomerizing) activity (GO:0004360)	2	-	8.09E-01	9.48E-01
nucleoside monophosphate kinase activity (GO:0050145)	18	-	8.09E-01	9.48E-01
L-malate dehydrogenase activity (GO:0030060)	4	+	8.11E-01	9.50E-01
propionate-CoA ligase activity (GO:0050218)	3	-	8.11E-01	9.50E-01
phosphatidylinositol-3-phosphatase activity (GO:0004438)	18	+	8.12E-01	9.51E-01
high-density lipoprotein particle receptor binding (GO:0070653)	1	-	8.13E-01	9.52E-01
palmitoyltransferase activity (GO:0016409)	32	-	8.14E-01	9.53E-01
lactoperoxidase activity (GO:0140825)	1	+	8.14E-01	9.53E-01
interleukin-1 receptor antagonist activity (GO:0005152)	1	+	8.14E-01	9.53E-01
glucosyltransferase activity (GO:0046527)	16	+	8.15E-01	9.53E-01
aspartyltransferase activity (GO:0047690)	2	-	8.15E-01	9.53E-01
threonine-type peptidase activity (GO:0070003)	17	+	8.15E-01	9.53E-01
CoA carboxylase activity (GO:0016421)	6	-	8.16E-01	9.54E-01
glycolipid binding (GO:0051861)	21	+	8.16E-01	9.54E-01
GBD domain binding (GO:0032427)	2	-	8.16E-01	9.54E-01
rhodopsin kinase activity (GO:0050254)	1	-	8.17E-01	9.54E-01
protein folding chaperone (GO:0044183)	54	-	8.18E-01	9.55E-01
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)	33	+	8.18E-01	9.55E-01
oleoyl-CoA ligase activity (GO:0090434)	3	+	8.18E-01	9.55E-01
histone methyltransferase activity (H3-K4 specific) (GO:0042800)	16	+	8.18E-01	9.55E-01
3'-flap endonuclease activity (GO:0048257)	1	-	8.19E-01	9.56E-01
four-way junction helicase activity (GO:0009378)	6	+	8.19E-01	9.55E-01
high voltage-gated calcium channel activity (GO:0008331)	10	+	8.20E-01	9.56E-01
snRNA binding (GO:0017069)	43	+	8.20E-01	9.56E-01
AP-2 adaptor complex binding (GO:0035612)	9	-	8.20E-01	9.56E-01
peptidoglycan immune receptor activity (GO:0016019)	1	-	8.20E-01	9.56E-01
single-strand selective uracil DNA N-glycosylase activity (GO:0017065)	1	-	8.21E-01	9.56E-01
voltage-gated calcium channel activity involved in AV node cell action potential (GO:0086056)	3	-	8.21E-01	9.56E-01
gap junction channel activity involved in cardiac conduction electrical coupling (GO:0086075)	2	-	8.21E-01	9.56E-01
unmethylated CpG binding (GO:0045322)	8	-	8.22E-01	9.56E-01
phosphoserine residue binding (GO:0050815)	10	-	8.22E-01	9.56E-01
alanine-tRNA ligase activity (GO:0004813)	1	-	8.22E-01	9.57E-01
sulfur compound transmembrane transporter activity (GO:1901682)	40	-	8.23E-01	9.57E-01
FBXO family protein binding (GO:0098770)	2	+	8.23E-01	9.57E-01
4-aminobutyrate transaminase activity (GO:0003867)	1	+	8.24E-01	9.57E-01
(S)-3-amino-2-methylpropionate transaminase activity (GO:0047298)	1	+	8.24E-01	9.57E-01
4-aminobutyrate:2-oxoglutarate transaminase activity (GO:0034386)	1	+	8.24E-01	9.57E-01
succinate-semialdehyde dehydrogenase binding (GO:0032145)	1	+	8.24E-01	9.57E-01
C-rich single-stranded DNA binding (GO:1990829)	2	+	8.24E-01	9.56E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)	131	-	8.24E-01	9.57E-01
thrombopoietin receptor activity (GO:0038164)	1	-	8.25E-01	9.57E-01
NFAT protein binding (GO:0051525)	3	+	8.25E-01	9.57E-01
Toll-like receptor 2 binding (GO:0035663)	3	-	8.25E-01	9.57E-01
mitogen-activated protein kinase binding (GO:0051019)	27	-	8.25E-01	9.57E-01
aspartoacylase activity (GO:0019807)	1	+	8.25E-01	9.57E-01
inositol-1,4-bisphosphate 1-phosphatase activity (GO:0004441)	1	-	8.26E-01	9.57E-01
inositol-1,3,4-trisphosphate 1-phosphatase activity (GO:0052829)	1	-	8.26E-01	9.57E-01
sugar-terminal-phosphatase activity (GO:0050309)	2	-	8.26E-01	9.57E-01
glucose-6-phosphatase activity (GO:0004346)	2	-	8.26E-01	9.57E-01
lysophospholipase activity (GO:0004622)	20	+	8.26E-01	9.57E-01
dihydrotestosterone 17-beta-dehydrogenase activity (GO:0035410)	4	-	8.27E-01	9.57E-01
translation activator activity (GO:0008494)	9	+	8.27E-01	9.57E-01
WD40-repeat domain binding (GO:0071987)	4	+	8.27E-01	9.58E-01
L-serine ammonia-lyase activity (GO:0003941)	3	-	8.28E-01	9.58E-01
bis(5'-adenosyl)-triphosphatase activity (GO:0047710)	2	+	8.28E-01	9.57E-01
N-acetylgalactosamine-6-phosphate deacetylase activity (GO:0047419)	1	-	8.28E-01	9.58E-01
alpha-N-acetylgalactosaminidase activity (GO:0008456)	1	-	8.28E-01	9.57E-01
N-acetylglucosamine-6-phosphate deacetylase activity (GO:0008448)	1	-	8.28E-01	9.57E-01
interleukin-5 receptor binding (GO:0005137)	1	+	8.28E-01	9.57E-01
acireductone synthase activity (GO:0043874)	1	+	8.30E-01	9.58E-01
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity (GO:0043716)	1	+	8.30E-01	9.58E-01
2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity (GO:0043715)	1	+	8.30E-01	9.58E-01
glycerol-3-phosphatase activity (GO:0043136)	2	+	8.31E-01	9.59E-01
deacetylase activity (GO:0019213)	35	+	8.31E-01	9.59E-01
receptor antagonist activity (GO:0048019)	9	+	8.32E-01	9.60E-01
linear malto-oligosaccharide phosphorylase activity (GO:0102250)	3	-	8.32E-01	9.60E-01
glycogen phosphorylase activity (GO:0008184)	3	-	8.32E-01	9.60E-01
SHG alpha-glucan phosphorylase activity (GO:0102499)	3	-	8.32E-01	9.59E-01
transposase activity (GO:0004803)	2	+	8.32E-01	9.59E-01
folic acid binding (GO:0005542)	9	-	8.33E-01	9.59E-01
GPI-linked ephrin receptor activity (GO:0005004)	6	+	8.33E-01	9.59E-01
netrin receptor activity (GO:0005042)	5	+	8.33E-01	9.59E-01
inositol-hexakisphosphate phosphatase activity (GO:0004446)	1	+	8.33E-01	9.60E-01
inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity (GO:0030351)	1	+	8.33E-01	9.59E-01
bisphosphoglycerate 3-phosphatase activity (GO:0034417)	1	+	8.33E-01	9.59E-01
inositol pentakisphosphate phosphatase activity (GO:0052827)	1	+	8.33E-01	9.59E-01
inositol hexakisphosphate 2-phosphatase activity (GO:0052826)	1	+	8.33E-01	9.59E-01
protein disulfide isomerase activity (GO:0003756)	15	+	8.34E-01	9.59E-01
intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)	15	+	8.34E-01	9.58E-01
O-palmitoyltransferase activity (GO:0016416)	3	-	8.34E-01	9.58E-01
carnitine O-palmitoyltransferase activity (GO:0004095)	3	-	8.34E-01	9.58E-01
protein lysine deacetylase activity (GO:0033558)	21	+	8.34E-01	9.58E-01
calcium-independent phospholipase A2 activity (GO:0047499)	9	+	8.34E-01	9.58E-01
extracellular matrix structural constituent conferring tensile strength (GO:0030020)	31	-	8.35E-01	9.59E-01
poly(ADP-ribose) glycohydrolase activity (GO:0004649)	2	+	8.36E-01	9.60E-01
glucose binding (GO:0005536)	11	+	8.36E-01	9.60E-01
Fc-gamma receptor I complex binding (GO:0034988)	2	+	8.37E-01	9.61E-01
fucose transmembrane transporter activity (GO:0015150)	1	+	8.37E-01	9.61E-01
pentose transmembrane transporter activity (GO:0015146)	1	+	8.37E-01	9.60E-01
