gene	p.alert	p.control	p.orient
SLITRK3	0.001307	0.004024	3e-05
SLITRK4	0.711536	0.095696	0.375413
SLITRK5	0.312532	0.925534	0.878458
SLITRK6	0.296342	0.407304	0.040886
SLK	0.647376	0.830913	0.933314
SLMAP	0.89437	0.531789	0.41571
SLN	0.000913	0.007451	3.7e-05
SLPI	0.584772	0.040164	0.031646
SLTM	0.091736	0.396549	0.02212
SLU7	0.005391	0.002971	0.00018
SLURP1	0.444917	0.65981	0.948794
SLX4	0.929893	0.29665	0.841298
SLX4IP	0.988753	0.543669	0.770627
SMA5	0.682049	0.392332	0.657741
SMAD1	1.5e-05	3.2e-05	4e-06
SMAD2	4.3e-05	0.043565	2.3e-05
SMAD3	0.004296	0.010906	3.2e-05
SMAD4	0.854795	0.510518	0.146108
SMAD5	0.755949	0.641636	0.241299
SMAD6	0.933701	0.751685	0.816039
SMAD7	0.924846	0.84844	0.592084
SMAD9	0.029911	0.004995	0.000185
SMAP1	0.528952	0.315895	0.506283
SMAP2	0.140866	0.010936	0.06313
SMARCA1	3.3e-05	0.018442	2.3e-05
SMARCA2	0.149602	0.331623	0.07248
SMARCA4	0.447753	0.299822	0.12618
SMARCA5	0.485748	0.939377	0.557731
SMARCAD1	0.887102	0.430689	0.522257
SMARCAL1	0.382382	0.535208	0.346148
SMARCB1	0.579341	0.400165	0.797472
SMARCC1	0.238	0.074133	0.000464
SMARCC2	0.364111	0.056202	0.029495
SMARCD1	0.265842	0.008817	0.008555
SMARCD2	0.000208	0.001778	2.6e-05
SMARCD3	5e-05	4.8e-05	1.9e-05
SMARCE1	0.205866	0.493248	0.216828
SMC1A	0.002229	0.043209	0.000122
SMC2	0.166587	0.238575	0.007585
SMC3	0.303355	0.136482	0.583891
SMC4	0.84409	0.129777	0.239422
SMC5	0.209073	0.654467	0.692817
SMC6	0.110017	0.50189	0.445057
SMCHD1	0.0067	0.009188	5.7e-05
SMCO2	0.07283	0.30195	0.016413
SMCO3	0.670417	0.103907	0.501694
SMCO4	3.8e-05	4.1e-05	2.4e-05
SMCR5	0.496137	0.575172	0.607908
SMCR8	0.254942	0.292616	0.141016
SMDT1	0.098014	0.289852	0.060571
SMG1	0.849018	0.643081	0.611706
SMG5	0.3173	0.524966	0.681768
SMG6	0.529804	0.04157	0.138153
SMG7	0.005044	0.120548	0.001096
SMG8	0.035516	0.044523	0.004944
SMG9	0.105924	0.021926	0.00028
SMIM1	0.486209	0.019467	0.001147
SMIM10	0.01316	0.106738	3.7e-05
SMIM10L1	0.925187	0.968656	0.277524
SMIM10L2A	0.007485	0.036986	4e-05
SMIM10L2B	0.003231	0.041627	3.4e-05
SMIM10L2B.AS1	0.273224	0.029121	0.037955
SMIM12	0.015573	0.082072	0.162658
SMIM13	0.000522	0.000659	2.4e-05
SMIM14	0.00736	0.124227	0.018854
SMIM15	0.183906	0.477819	0.06461
SMIM19	0.061657	0.85958	0.033509
SMIM2.AS1	0.915137	0.325498	0.081652
SMIM20	0.545985	0.150714	0.849728
SMIM22	0.328911	0.180594	0.096126
SMIM24	0.253069	0.602028	0.033062
SMIM27	0.006125	0.022128	4e-05
SMIM29	0.000165	0.000514	2.1e-05
SMIM3	6.6e-05	0.003539	3.7e-05
SMIM30	0.000295	0.000796	3.2e-05
SMIM32	0.783421	0.753274	0.823342
SMIM37	0.009482	0.597047	0.078999
SMIM4	0.003431	0.00043	2.6e-05
SMIM6	0.225298	0.463636	0.83092
SMIM7	0.511756	0.03792	0.840606
SMIM8	0.001439	0.001304	8.7e-05
SMKR1	0.253367	0.084066	0.016466
SMNDC1	0.085765	0.536931	0.031406
SMO	0.018686	0.052857	0.000105
SMOC1	0.01484	0.058175	6.8e-05
SMOC2	0.000114	0.000338	4.3e-05
SMOX	0.012557	0.061616	0.000513
SMPD1	0.272868	0.558242	0.02686
SMPD3	0.285015	0.607992	0.709777
SMPD4	0.474071	0.444659	0.929546
SMPDL3A	0.180262	0.279461	0.018119
SMPX	0.048553	0.269656	0.000121
SMR3A	0.176405	0.99174	0.105066
SMS	0.838544	0.056103	0.140696
SMTN	0.0157	0.619141	0.346459
SMU1	0.337661	0.881527	0.195595
SMUG1	0.808172	0.462087	0.104068
SMURF1	0.375769	0.840526	0.210015
SMURF2	0.27119	0.852536	0.166506
SMYD2	0.001048	0.027998	0.042923
SMYD3	0.355474	0.324955	0.225858
SMYD4	0.019219	0.324205	0.005989
SMYD5	0.299671	0.018973	0.021695
SNAI1	0.150756	0.257845	0.050556
SNAI2	0.044191	0.038501	0.002106
SNAI3.AS1	0.252294	0.364425	0.108663
SNAP23	0.446406	0.492263	0.310066
SNAP25	5.8e-05	0.000407	2.9e-05
SNAP29	0.045194	0.021422	9.4e-05
SNAP47	0.423397	0.653856	0.306832
SNAP91	0.318919	0.904532	0.17607
SNAPC1	0.018555	0.024479	0.002397
SNAPC2	0.129467	0.776897	0.110135
SNAPC3	0.188547	0.027855	0.007789
SNAPC4	0.426123	0.75133	0.358899
SNAPC5	0.010202	0.11638	0.000273
SNAPIN	0.592048	0.089557	0.508022
SNCA	7.2e-05	0.000528	2.3e-05
SNCAIP	0.050623	0.105927	0.007936
SNCB	0.000541	0.091148	0.000115
SNCG	0.090858	0.25957	0.002809
SND1	0.063303	0.124922	0.012351
SND1.IT1	0.204654	0.726495	0.126328
SNED1	0.644489	0.651513	0.186937
SNF8	0.079672	0.007575	0.122515
SNHG1	0.00098	0.002123	2.3e-05
SNHG10	0.574022	0.293934	0.64958
SNHG11	0.77602	0.42992	0.438037
SNHG12	0.135937	0.146698	0.023965
SNHG14	0.003073	0.018385	3.6e-05
SNHG15	0.385985	0.019183	0.022269
SNHG16	0.811899	0.022367	0.074033
SNHG17	0.362802	0.593349	0.203136
SNHG18	0.663576	0.059319	0.11835
SNHG19	0.000375	3.2e-05	2.4e-05
SNHG20	0.016525	0.004342	0.000366
SNHG21	0.607681	0.893772	0.295973
SNHG28	0.640823	0.253959	0.549856
SNHG5	0.114528	0.010787	0.005621
SNHG7	0.259185	0.921696	0.574036
SNHG8	4e-05	0.00113	1.6e-05
SNIP1	0.009443	0.00281	0.000278
SNN	0.03294	0.068595	0.679771
SNORA70	0.281151	0.143553	0.377974
SNORC	0.875665	0.984217	0.55732
SNORD22	0.342449	0.420722	0.137486
SNPH	0.094029	0.077891	0.034437
SNRK	0.114825	0.048866	0.010209
SNRNP200	0.319556	0.460559	0.242556
SNRNP25	0.265066	0.100993	0.774804
SNRNP27	6.5e-05	0.009289	2.3e-05
SNRNP35	0.000582	0.001489	2.3e-05
SNRNP40	0.031618	0.14033	0.059118
SNRNP48	0.317455	0.404405	0.488333
SNRNP70	0.671806	0.474286	0.538568
SNRPA	0.195203	0.041103	0.041931
SNRPA1	0.000701	0.000165	3.8e-05
SNRPB	0.512096	0.633781	0.254869
SNRPB2	0.092467	0.093003	0.001985
SNRPC	0.007918	0.002654	4.4e-05
SNRPD1	0.8617	0.77061	0.186996
SNRPD2	0.424838	0.080438	0.002267
SNRPD3	0.002921	0.011545	2.6e-05
SNRPE	0.48166	0.495585	0.035778
SNRPF	0.542858	0.911236	0.131823
SNRPG	0.69004	0.564133	0.057755
SNTA1	0.294287	0.303814	0.497717
SNTB1	9.7e-05	0.000327	1.8e-05
SNTB2	0.26786	0.392616	0.681507
SNTG1	0.004549	0.013363	4.3e-05
SNTG2	0.04777	0.108626	0.000336
SNU13	0.576446	0.929314	0.173472
SNUPN	0.777475	0.452927	0.202067
SNW1	0.026021	0.576665	0.014844
SNX1	0.34855	0.135495	0.187488
SNX10	0.063639	0.285388	0.00082
SNX11	0.254278	0.78556	0.710037
SNX12	0.061395	0.690873	0.109262
SNX13	0.155567	0.07494	0.009354
SNX14	0.058619	0.058808	0.191396
SNX16	0.380983	0.285781	0.90391
SNX17	0.482593	0.550307	0.750857
SNX18	0.015721	0.946963	0.003098
SNX19	0.558101	0.321182	0.466957
SNX2	0.196785	0.299029	0.023786
SNX20	0.303588	0.021504	0.022199
SNX21	0.008853	0.834336	0.184983
SNX22	0.70813	0.732409	0.377344
SNX24	0.000993	0.01229	0.051947
SNX25	0.590931	0.087476	0.251179
SNX27	0.017172	0.021981	0.012062
SNX29	0.437971	0.478622	0.40728
SNX29P2	0.994736	0.88152	0.633945
SNX3	0.017466	0.042165	0.000219
SNX30	0.048619	0.384904	0.146732
SNX31	0.006817	0.000352	0.00011
SNX32	0.507083	0.854127	0.585052
SNX33	0.883013	0.96168	0.789236
SNX4	0.163771	0.206952	0.103218
SNX5	0.742685	0.960441	0.183575
SNX6	0.081195	0.463009	0.010019
SNX7	3.3e-05	0.00049	1.6e-05
SNX8	0.272967	0.21237	0.016771
SNX9	0.286842	0.876078	0.081736
SOAT1	0.000489	0.053972	0.001599
SOBP	0.015944	0.036575	0.000526
SOCS1	0.661743	0.098371	0.032557
SOCS2	0.460414	0.971641	0.523408
SOCS4	0.183617	0.307681	0.021795
SOCS5	0.014878	0.009785	5.1e-05
SOCS6	0.72937	0.807644	0.800936
SOCS7	0.112319	0.279761	0.023045
SOD1	0.296356	0.054443	0.000398
SOD2	0.663363	0.772639	0.965906
SOD3	0.031073	0.027618	0.000337
SOGA1	0.108015	0.582612	0.081427
SOGA3	0.003858	0.025746	0.000102
SOHLH1	0.000101	0.006312	2.9e-05
SON	0.046628	0.021761	0.000177
SORBS1	0.106271	0.034577	0.001609
SORBS2	7.7e-05	0.000165	2e-05
SORBS3	0.02123	0.209817	0.001818
SORCS1	2.4e-05	1.7e-05	1.3e-05
SORCS2	0.153087	0.378792	0.011311
SORCS3	0.579149	0.557473	0.664454
SORD2P	0.992459	0.760559	0.824437
SORL1	4e-05	0.004689	1.7e-05
SORT1	3.5e-05	0.002295	2.8e-05
SOS1	0.359443	0.353039	0.030537
SOS2	0.376504	0.582012	0.766843
SOSTDC1	0.07082	0.998475	0.046162
SOWAHA	0.000467	0.00315	7.5e-05
SOWAHB	0.018472	0.036167	0.02531
SOWAHC	0.047759	0.020648	0.000764
SOWAHD	0.007468	0.00312	4.2e-05
SOX1	0.680788	0.267477	0.201025
SOX10	0.166053	0.343493	0.258212
SOX11	2.6e-05	0.00027	1.7e-05
SOX12	0.9552	0.576163	0.491774
SOX13	0.793489	0.333407	0.348239
SOX15	0.993601	0.075015	0.826699
SOX17	0.107501	0.510228	0.062446
SOX18	0.871647	0.572636	0.708684
SOX2	0.000207	0.212567	0.000135
SOX2.OT	0.421167	0.405307	0.264857
SOX21	0.015865	0.761461	0.001244
SOX3	0.03554	0.042394	0.000344
SOX4	3.8e-05	8.1e-05	3.3e-05
SOX5	0.057269	0.333368	0.000111
SOX6	0.947056	0.588598	0.154116
SOX7	0.306869	0.525671	0.30102
SOX8	0.62182	0.329552	0.137312
SOX9	0.013069	0.110651	0.000378
SOX9.AS1	0.000374	0.014684	2.3e-05
SP1	0.737326	0.768443	0.880816
SP100	0.93766	0.287632	0.205685
SP110	0.127967	0.041611	0.025678
SP140	0.578433	0.659948	0.161539
SP140L	0.111863	0.446312	0.026802
SP2	0.049964	0.036352	0.035546
SP3	0.883483	0.805974	0.356553
SP4	0.077316	0.228974	0.428606
SP5	5e-05	0.000122	1.6e-05
SP6	0.168674	0.081505	0.053187
SP7	0.61622	0.901387	0.513661
SP9	0.133211	0.6546	0.018402
SPA17	0.479393	0.576488	0.095022
SPACA3	0.190829	0.066274	0.004101
SPACA6	0.060015	0.593392	0.01598
SPACA9	0.003074	0.001947	3e-05
SPAG16	0.705413	0.929571	0.771485
SPAG4	3.6e-05	0.00989	1.3e-05
SPAG5	0.962596	0.062021	0.808064
SPAG7	0.421554	0.240898	0.851795
SPAG8	0.567606	0.491174	0.414771
SPAG9	0.010736	0.003247	0.000365
SPANXA2.OT1	0.311126	0.537266	0.186074
SPARC	0.001282	0.001917	1.1e-05
SPARCL1	0.003468	0.026795	0.007137
SPART	0.004227	0.083189	0.00054
SPAST	0.810558	0.639835	0.204372
SPATA1	0.129932	0.144767	0.011852
SPATA13	0.107659	0.002113	0.000413
SPATA18	0.191962	0.291129	0.000561
SPATA2	0.001975	0.029311	0.000615
SPATA20	0.026547	0.088317	0.000151
SPATA24	0.002272	0.010611	4.7e-05
SPATA25	0.365174	0.871055	0.182022
SPATA2L	0.824416	0.920085	0.996187
SPATA32	0.871182	0.733015	0.916885
SPATA33	4.2e-05	0.000685	1.9e-05
SPATA4	0.056319	0.001309	0.000135
SPATA5L1	0.271541	0.093252	0.123191
SPATA6	0.366823	0.185305	0.073518
SPATA6L	0.213397	0.641105	0.133635
SPATA7	0.06084	0.207172	0.007884
SPATC1L	8.5e-05	0.098188	2.4e-05
SPATS2	0.706245	0.711446	0.791872
SPATS2L	0.051921	0.154491	0.236569
SPCS1	0.247258	0.75288	0.186602
SPCS2	0.031699	0.03659	0.249882
SPCS3	0.315046	0.279284	0.149889
SPDEF	0.377815	0.825034	0.930253
SPDL1	0.24046	0.241164	0.535514
SPDYE1	0.89145	0.088302	0.081406
SPDYE3	0.32054	0.090786	0.220442
SPDYE5	0.175619	0.345103	0.021007
SPDYE7P	0.092361	0.698124	0.071208
SPECC1	0.000591	0.031034	4.7e-05
SPECC1L	0.000946	0.391709	0.000198
SPEF1	0.014383	0.064494	0.000514
SPEF2	0.219748	0.745532	0.74063
SPEG	0.178004	0.113954	0.765167
SPEM1	0.45221	0.765116	0.374325
SPEM2	0.237968	0.179443	0.065633
SPEN	0.256986	0.227265	0.006604
SPG11	0.137466	0.842288	0.152777
SPG21	0.209871	0.678499	0.275717
SPG7	0.554886	0.9663	0.555478
SPHK1	6.9e-05	0.008769	0.000605
SPHK2	4.2e-05	0.037322	0.000407
SPHKAP	2e-04	0.000383	1.9e-05
SPI1	0.52703	0.773476	0.995713
SPIB	3.8e-05	0.006484	0.000101
SPICE1	7.9e-05	0.002064	2.3e-05
SPIDR	0.108658	0.13055	0.000521
SPIN1	0.068208	0.607858	0.061214
SPIN2B	0.752729	0.283112	0.26081
SPIN3	0.00044	0.022885	4.6e-05
SPIN4	0.00232	0.052424	0.002148
SPINK2	0.084746	0.391378	0.000809
SPINK7	0.767736	0.14535	0.35756
SPINK8	0.029951	0.715221	0.080302
SPINT2	0.008263	0.008517	3.8e-05
SPIRE1	0.738511	0.786566	0.515148
SPIRE2	0.132617	0.001986	0.003117
SPN	0.188781	0.137443	0.178786
SPNS1	0.266259	0.296213	0.914419
SPNS2	0.001077	0.006171	4.2e-05
SPNS3	0.662059	0.860182	0.458832
SPOCD1	0.010012	0.88382	0.011067
SPOCK1	0.899109	0.107596	0.341573
SPOCK2	0.339799	0.587097	0.544802
SPOCK3	0.436398	0.097115	0.699513
SPON1	0.078992	0.64576	0.031322
SPON2	0.002625	0.019863	3.3e-05
SPOP	0.984723	0.38929	0.401525
SPOPL	0.004897	0.000448	9.7e-05
SPOUT1	0.005031	0.248384	0.033027
SPP1	0.06492	0.107387	0.097421
SPPL2A	0.422048	0.741756	0.3773
SPPL2B	0.980183	0.27808	0.997593
SPPL2C	0.999583	0.585566	0.911703
SPPL3	0.000139	0.000342	3e-05
SPR	0.699754	0.445323	0.154841
SPRED1	0.001996	0.023353	0.000403
SPRED2	0.773394	0.296776	0.097797
SPRED3	0.002586	0.008066	0.004168
SPRN	0.013924	0.03615	0.000159
SPRR1A	0.631508	0.701287	0.600866
SPRR2C	0.573263	0.491881	0.750453
SPRR2E	0.793171	0.642857	0.505158
SPRTN	0.834929	0.986646	0.784828
SPRY1	0.00961	0.008406	3.7e-05
SPRY2	0.966222	0.168825	0.097475
SPRY3	0.106683	0.438064	0.011897
SPRY4	0.309702	0.493213	0.778329
SPRYD3	0.172202	0.444769	0.034932
SPRYD4	0.003831	0.001027	0.000107
SPRYD7	0.623728	0.421128	0.211071
SPSB1	0.029184	0.246185	0.079144
SPSB2	0.035397	0.002022	0.000138
SPSB3	0.661951	0.992809	0.251615
SPSB4	0.610069	0.484099	0.297898
SPTAN1	0.348258	0.113707	0.967482
SPTB	0.124522	0.880054	0.026894
SPTBN1	0.383473	0.571785	0.257133
SPTBN2	0.090433	0.179299	0.12785
SPTBN4	0.017056	0.000138	2.3e-05
SPTBN5	0.019395	0.877454	0.281138
SPTLC1	0.016743	0.273378	0.003109
SPTLC2	0.793934	0.834088	0.546183
SPTSSA	0.000108	0.075849	0.000102
SPTSSB	0.000102	0.011612	1.9e-05
SPTY2D1	0.965112	0.262416	0.360293
SPX	0.129754	0.534039	0.025247
SQLE	0.017396	0.050331	9.6e-05
SQOR	0.028205	0.042126	8.3e-05
SQSTM1	0.615677	0.2813	0.298275
SRA1	0.000215	0.020721	5.2e-05
SRARP	0.032631	0.170995	0.006908
SRBD1	0.698153	0.361547	0.205397
SRC	0.249666	0.709916	0.079457
SRCAP	0.836775	0.712636	0.795569
SRCIN1	0.40316	0.022294	0.145891
SRD5A1	0.447866	0.165859	0.823752
SRD5A3	0.00331	0.00343	0.000168
SRD5A3.AS1	0.89038	0.18426	0.146277
SREBF1	0.000362	0.00415	0.000103
SREBF2	0.476219	0.175859	0.969799
SREK1	0.438205	0.369495	0.35111
SREK1IP1	0.001742	0.046973	5.3e-05
SRF	0.226346	0.101871	0.009801
SRFBP1	0.000117	0.006283	4.1e-05
SRGAP1	5.6e-05	0.000189	1.9e-05
SRGAP2	0.000734	0.011217	0.002192
SRGAP2B	0.058083	0.214498	0.059604
SRGAP3	0.544751	0.576833	0.076148
SRGN	0.947085	0.859683	0.827972
SRI	0.02713	0.441682	0.010371
SRM	0.067026	0.260694	0.000509
SRP14	0.027287	0.183022	0.000781
SRP14.AS1	0.018246	0.493736	0.336008
SRP19	0.238561	0.979093	0.003185
SRP54	0.475288	0.849421	0.641209
SRP68	0.286356	0.019337	0.049463
SRP72	0.99035	0.877536	0.66673
SRP9	0.019951	0.10706	0.001357
SRPK1	0.000551	0.043236	4.6e-05
SRPK2	0.84567	0.375838	0.34034
SRPK3	0.770774	0.785068	0.736879
SRPRA	0.000334	0.042982	0.002095
SRPRB	0.178786	0.327687	0.457209
SRPX	0.603626	0.177087	0.116105
SRR	0.004665	0.121672	0.000107
SRRD	0.001456	0.004635	2.9e-05
SRRM1	0.015775	0.02807	0.000254
SRRM2	0.912063	0.253989	0.703565
SRRM3	0.045614	0.392967	0.011381
SRRM4	0.059959	0.020144	4.9e-05
SRRT	0.236884	0.661077	0.293739
SRSF1	0.00553	0.017435	8.4e-05
SRSF10	0.642083	0.863513	0.426426
SRSF11	0.058688	0.012671	5.2e-05
SRSF12	0.005952	0.002849	7.7e-05
SRSF2	0.631189	0.368476	0.814113
SRSF3	0.698241	0.455247	0.554777
SRSF4	0.097581	0.114997	0.00409
SRSF5	0.487769	0.206992	0.874026
SRSF6	0.20454	0.171635	0.096518
SRSF7	0.241641	0.595259	0.482008
SRSF8	0.00014	0.037517	4.7e-05
SRSF9	0.517735	0.073533	0.342452
SRXN1	2.1e-05	0.003763	2.1e-05
SS18	0.285558	0.215306	0.430052
SS18L1	0.280864	0.069978	0.620725
SS18L2	0.61846	0.790855	0.365838
SSB	0.667146	0.450873	0.701445
SSBP1	0.022239	0.046542	6.1e-05
SSBP2	0.001778	0.003309	0.002525
SSBP3	0.058295	0.066915	0.010413
SSBP4	0.041111	0.065996	0.000821
SSC4D	0.30312	0.014096	0.000325
SSC5D	0.024749	0.019358	0.00033
SSFA2	0.064977	0.039625	0.00068
SSH1	0.055032	0.165427	0.010678
SSH2	0.00191	0.006442	0.000486
SSH3	0.018327	0.140119	0.000459
SSNA1	0.899106	0.399867	0.387645
SSPN	0.009902	0.459516	0.0044
SSR1	0.218678	0.922382	0.289197
SSR2	0.613494	0.012554	0.008635
SSR3	0.475037	0.645871	0.131255
SSR4	0.00348	0.000753	2.6e-05
SSR4P1	0.018814	0.009874	3.4e-05
SSRP1	0.837095	0.294879	0.477995
SSSCA1	0.00032	0.000426	2.3e-05
SSSCA1.AS1	0.32303	0.289397	0.121912
SST	4.6e-05	7.3e-05	1.8e-05
SSTR1	4.1e-05	0.000216	1.4e-05
SSTR2	0.012192	0.021382	7.5e-05
SSTR3	0.112597	0.155153	0.18232
SSTR4	0.16329	0.067074	0.130958
SSU72	0.010792	0.64954	0.014143
SSUH2	0.12308	0.224002	0.051083
SSX2IP	0.013686	0.042917	0.00034
SSX5	0.785426	0.236811	0.263091
ST13	0.185761	0.184302	0.01943
ST13P4	0.715486	0.397648	0.625386
ST14	0.82228	0.444557	0.816812
ST18	0.189988	0.139086	0.258912
ST20	0.000119	0.007584	2.2e-05
ST3GAL1	0.01323	0.079609	0.762513
ST3GAL2	0.000795	0.009915	0.00015
ST3GAL3	0.009215	0.278005	0.022352
ST3GAL4	0.043	0.072277	0.164051
ST3GAL5	0.013513	0.208502	0.000933
ST3GAL6	0.000148	0.00133	2.5e-05
ST3GAL6.AS1	0.006625	0.008283	8.6e-05
ST5	0.024986	0.058961	7.1e-05
ST6GAL1	0.070855	0.037658	0.001385
ST6GAL2	0.221748	0.394448	0.790155
ST6GALNAC1	0.00038	0.003891	8.2e-05
ST6GALNAC3	0.219767	0.234403	0.104997
ST6GALNAC4	0.575901	0.506322	0.27265
ST6GALNAC5	0.003955	0.027797	0.000112
ST6GALNAC6	0.020723	0.397355	0.000438
ST7	0.892807	0.667099	0.232077
ST7.AS1	0.001956	0.037295	0.000463
ST7L	0.28367	0.759182	0.008389
ST8SIA1	3.2e-05	0.000159	1.9e-05
ST8SIA2	0.675878	0.81422	0.8997
ST8SIA3	0.333111	0.051714	0.110985
ST8SIA4	0.001277	0.010209	0.011294
ST8SIA5	0.00136	0.015616	0.000375
STAB1	0.018213	0.124511	0.000182
STAC2	3.2e-05	0.000364	2.2e-05
STAG1	0.000451	0.002117	3.1e-05
STAG2	0.694954	0.069215	0.041804
STAG3	0.069569	0.084149	0.036108
STAG3L2	0.025223	0.399956	0.347084
STAG3L4	5e-04	0.000807	2.6e-05
STAG3L5P	0.736558	0.37232	0.29774
STAM	0.011457	0.01642	0.000324
STAM2	0.469818	0.570734	0.207345
STAMBP	0.03519	0.003911	0.001865
STAMBPL1	0.008601	0.013435	3.6e-05
STAP2	0.054264	0.080109	0.219097
STAR	0.003312	0.258098	0.037846
STARD10	7e-05	0.013648	3.8e-05
STARD13	0.052923	0.026756	0.007915
STARD3	0.701445	0.458049	0.498664
STARD3NL	0.021603	0.050399	3.9e-05
STARD4	0.031354	0.000372	0.006226
STARD5	0.000135	0.009875	2.2e-05
STARD7	0.292439	0.92079	0.496854
STARD7.AS1	0.692693	0.03725	0.056771
STARD8	0.173115	0.790591	0.298667
STARD9	0.002347	0.023935	3.7e-05
STAT1	0.36438	0.460506	0.101222
STAT2	0.435981	0.003133	0.005255
STAT3	0.549121	0.065464	0.009352
STAT4	6.9e-05	6.6e-05	1.7e-05
STAT5A	0.894661	0.297521	0.129127
STAT5B	0.948402	0.561195	0.669575
STAT6	0.936826	0.865898	0.567762
STAU1	0.692034	0.701467	0.103426
STAU2	2.8e-05	4.4e-05	1.2e-05
STBD1	0.162995	0.265467	0.000911
STC2	0.943988	0.387429	0.168116
STEAP1	0.696153	0.323525	0.079945
STEAP1B	0.227296	0.08231	0.195021
STEAP2	3.6e-05	0.000152	3.3e-05
STEAP3	0.306511	0.003087	0.000369
STH	0.145933	0.088237	0.000644
STIM1	0.000673	0.001401	2.7e-05
STIM2	0.003777	0.01802	0.000287
STIP1	0.43188	0.017567	0.033973
STK10	0.28661	0.19966	0.011918
STK11	0.29124	0.72872	0.106838
STK11IP	0.421315	0.016538	0.349555
STK16	0.194541	0.836451	0.143962
STK17A	0.001223	0.016856	3.2e-05
STK17B	0.000408	0.007023	3.7e-05
STK19	0.426744	0.721689	0.568328
STK24	0.008291	0.008586	0.015007
STK25	0.001342	0.013552	6.9e-05
STK26	4.4e-05	0.002598	1.5e-05
STK31	0.06793	0.01789	0.170245
STK32C	0.00215	0.043677	4.8e-05
STK33	0.245965	0.474673	0.042083
STK35	0.071087	0.200605	0.001033
STK36	0.054664	0.159296	0.001028
STK38	0.335084	0.470183	0.749311
STK38L	0.105613	0.327872	0.022546
STK39	0.014891	0.136172	0.264292
STK4	0.940584	0.225484	0.715922
STK4.AS1	0.136826	0.090614	0.004741
STK40	0.587917	0.973059	0.170983
STMN1	0.064969	0.285402	0.0304
STMN2	0.676565	0.47782	0.109885
STMN3	0.044902	0.009507	0.00146
STMN4	0.184634	0.238557	0.011995
STMP1	0.553746	0.738358	0.775445
STN1	0.550332	0.316083	0.92028
STOM	0.000373	0.006675	4.1e-05
STOML1	0.000399	0.000731	2.3e-05
STOML2	0.299157	0.009642	0.112002
STON1	0.385616	0.137842	0.66275
STON2	0.000173	0.097945	6.1e-05
STOX1	0.034921	0.391884	0.005399
STOX2	0.250366	0.243741	0.000391
STPG1	5.9e-05	0.002218	2.3e-05
STRA6	0.697776	0.897434	0.961824
STRADA	0.000627	0.153914	0.000462
STRADB	0.523912	0.926645	0.09471
STRAP	0.254978	0.123926	0.017091
STRBP	1.3e-05	2.5e-05	8e-06
STRIP1	0.070902	0.525809	0.17754
STRIP2	0.481174	0.151867	0.988542
STRN	3.2e-05	0.000153	1.9e-05
STRN3	0.55752	0.521111	0.533663
STRN4	0.810193	0.100946	0.437564
STS	0.000159	0.000258	1.8e-05
STT3A	0.599492	0.0158	0.033466
STT3B	0.061602	0.813974	0.005492
STUB1	0.867822	0.766739	0.088502
STUM	4.7e-05	0.000245	1.9e-05
STX10	0.614048	0.222516	0.235922
STX12	0.00068	0.065835	3.7e-05
STX16	0.090945	0.03364	0.007404
STX17	0.033125	0.020107	0.038078
STX17.AS1	1.9e-05	0.000239	1e-05
STX18	0.606805	0.950825	0.465657
STX18.AS1	0.76905	0.833448	0.64575
STX19	0.001112	0.001845	2e-05
STX1A	0.000931	0.003556	6.1e-05
STX1B	0.00838	0.169021	0.000397
STX2	0.047076	0.13702	0.00459
STX3	0.572161	0.835194	0.642442
STX4	0.216975	0.596733	0.01575
STX5	0.631914	0.148546	0.196639
STX6	0.049335	0.120402	0.001443
STX7	0.667441	0.625204	0.082755
STX8	0.157348	0.372538	0.132822
STXBP1	0.036315	0.126915	8.8e-05
STXBP3	0.000327	0.003372	5e-05
STXBP4	7.1e-05	0.00692	3e-05
STXBP5	0.55074	0.122534	0.026559
STXBP5L	0.000497	0.023417	4.4e-05
STXBP6	0.044562	0.194238	0.00051
STYK1	0.00014	0.000515	2.5e-05
STYX	0.242721	0.04381	0.034703
STYXL1	0.135314	0.346907	0.010135
SUB1	0.015679	0.047634	6.2e-05
SUCLA2	0.054412	0.001578	0.004732
SUCLG1	0.168283	0.050192	0.277831
SUCLG2	0.003401	0.046502	0.000116
SUCO	0.296752	0.857827	0.195897
SUDS3	0.487756	0.125056	0.077891
SUFU	0.179054	0.005008	0.010641
SUGCT	0.110543	0.115464	0.002234
SUGP1	0.433868	0.772919	0.439201
SUGP2	6.6e-05	0.002229	2.9e-05
SUGT1	0.026952	0.055529	0.007982
SUGT1P1	0.540143	0.163567	0.334977
SUGT1P3	0.147683	0.084436	0.054167
SULF1	0.079734	0.016484	7.1e-05
SULF2	0.002404	0.046277	3.8e-05
SULT1A1	0.937461	0.790684	0.404137
SULT1A2	0.288919	0.789377	0.093685
SULT1C4	0.073044	0.727681	0.018173
SULT2B1	0.89802	0.736582	0.554295
SULT4A1	0.09994	0.035776	0.007726
SUMF1	0.003133	0.032202	5.5e-05
SUMF2	0.000652	5.2e-05	2e-05
SUMO1	0.479949	0.758603	0.872964
SUMO1P1	0.78251	0.802195	0.765642
SUMO2	0.007199	0.282296	0.001891
SUMO3	0.00394	0.184291	7.7e-05
SUN1	0.097206	0.323528	0.000894
SUN2	0.178772	0.268744	0.090966
SUOX	0.41822	0.303293	0.932849
SUPT16H	0.003047	0.000753	3.4e-05
